convicts	condenados
overthrew	Derrocó
self	Auto
consoling	Consolador
galileans	Galileos
rowed	Remado
enlightens	Ilumina
conscience	Conciencia
sure	Seguro
falls	Cae
beckoned	Señas
blowing	Soplado
commanding	Comandante
wrappings	Los embalajes
flow	Flujo
hungry	Hambre
yours	suyo
perceiving	Percibir
donkeys	Burros
agreed	Acuerdo
large	Gran
soldiers	soldados
tend	Tienden
find	Encontrar
livestock	ganado
print	Imprimir
distributed	Distribuido
enough	Suficiente
aside	Aparte
defiled	Profanaron
treasury	Tesoro
hardened	Endurecido
colt	Colt
listened	Escuchado
meanwhile	Mientras;tanto
beat	Beat
enters	Entra en
rejoices	alegra
ones	Queridos
breast	Mama
altogether	En total
during	Durante
reveal	Revelan
skull	Cráneo
fields	Campos
orphans	huérfanos
thirty-eight	Treinta y ocho
insane	locura
lord	Señor
persecute	Perseguir
dedication	Dedicación
precious	Precioso
grieved	Acongojado
mans	Mans
reported	Informó
freely	Libremente
invited	Invitados
sorrowful	Triste
became	Se hizo
groaned	Gime
whole	Todo
torn	ROTO
spear	Lanza
drunk	Borracho
legs	piernas
withered	Marchita
lanterns	Linternas
pruned	Poda
vessel	Buque
table	Tabla
trust	Confianza
withdrawn	Retirado
aloes	Aloes
save	Guardar
olives	Aceitunas
stretch	Tramo
three	Tres
convicted	Condenado
secret	Secreto
drank	Bebió
cords	cables
mary	María
wants	Quiere
lived	Vivió
perplexed	Perplejo
cloak	Manto
sincerely	Sinceramente
offers	Ofrece
finished	Terminado
lift	Levante
after	Después
slapping	Bofetadas
kidron	Cedrón
taking	Teniendo
purifying	Depurativo
pool	Piscina
demon	Demon
ready	Listo
happening	Sucediendo
multitudes	Multitudes
finds	Encuentra
containing	Que contiene
dishonor	Deshonor
proceeds	Producto
stepped	Reforzado
used	Usa
booths	Cabinas
sickness	Enfermedad
drink	Copa
upon	A
moving	Mover
prophesied	Profetizó
warming	Calentamiento
destruction	Destrucción
dark	Oscuro
bondage	Servidumbre
makes	Hace
possessed	Poseía
sychar	Sicar
without	Sin
greatest	Mayor
dressed	Vestidos
drawing	Dibujo
bodies	Órganos
morsel	Bocado
rolled	Laminado
foot	Pie
showed	Mostró
fullness	Plenitud
world	Mundo
levites	Levitas
sandal	Sandalia
console	Consola
cup	Copa
rose	Rose
point	Punto
arrest	Detención
belongs	Pertenece
crying	llanto
prison	Prisión
struck	Impresionado
remaining	Restantes
zion	Zion
kills	Mata
read	Leer
birth	Nacimiento
bit	Poco
reap	Cosechar
lost	Perdido
gift	Don
pounds	Libras
follows	Sigue
circumcise	Circuncidar
remind	Recordar
true	Verdadero
steps	Pasos
officer	Oficial
lose	Perder
robbers	Ladrones
heel	Talón
wonders	Maravillas
snatches	Tirones
old	Antiguo
jews	Los judíos
exposed	Expuesto
tells	Indica
forgiven	Perdonado
authority	Autoridad
you	Usted
withdrew	retira
urged	Instó
stand	Soporte
act	Ley
tomb	Tumba
basin	Cuenca
malchus	Malco
presence	Presencia
anothers	Recíproco
within	En
son	Hijo
jerusalem	Jerusalén
stench	Hedor
existed	Existe
beneath	Bajo
peters	Peters
dispersion	Dispersión
forward	adelante
spat	Escupió
golgotha	Gólgota
head	Cabeza
form	Formulario
immorality	Inmoralidad
cloth	Paño
hail	Granizo
trying	Intentando
sponge	Esponja
counsel	abogado
tossed	Lanzada
whether	Si
until	Hasta
apiece	Cada
cubits	Codos
stirring	Agitación
educated	Educación
father-in-law	Padre-en-ley
sheath	Funda
go	Ir
messiah	mesías
thought	Pensamiento
person	Persona
lest	Lest
depart	Salen
yes	Sí
circumcision	circuncisión
like	Como
whomever	Quien
right	Derecho
crowd	Multitud
arrested	Detenido
peter	Pedro
nobleman	Noble
purple	Púrpura
bondservant	Siervo del señor
sayings	Refranes
sixth	Sexto
likewise	Del mismo modo
annas	Anás
wept	Lloró
working	Trabajando
fell	Cayó
wolf	Wolf
lawful	Legal
poured	Vierte
worshippers	fieles
heal	Sanar
anew	Nuevamente
more	Más
caught	Atrapados
oxen	Bueyes
recognize	Reconocer
betrayed	Traicionado
else	Otra;cosa
stirred	Agitar
home	Casa
itself	Sí
doves	palomas
follow	Seguimiento
charge	Carga
division	División
rise	Aumento
every	Cada
die	Die
yourself	Usted;mismo
christ	Cristo
here	Aquí
great	Gran
followed	Seguido
manna	Maná
door	Puerta
teaching	Enseñanza
glad	Glad
word	Palabra
reaps	Cosecha
listens	Escucha
garments	prendas
such	Tales
keeps	Mantiene
began	Comenzó
enter	Introduzca
greeks	griegos
happened	Sucedió
eat	Comer
jesus	Jesús
day	Día
begged	rogué
garment	Prenda
living	Vida
stumble	Stumble
ascending	Orden;ascendente
reason	Razón
thrown	Lanzado
could	Podría
bridegroom	Esposo
place	Lugar
blind	Ciego
samaritans	samaritanos
kind	Tipo
hundred	Cien
seed	Semillas
nazareth	Nazaret
hired	Contratado
stands	Está
gather	Recopilar
sinner	Pecador
judges	jueces
much	Mucho
judged	Juzgado
words	Palabras
years	Años
vine	Vid
preparation	Preparación
sold	Vendido
according	Según
figures	Cifras
village	Aldea
basis	Base
didymus	Didimo
vinegar	Vinagre
threw	Lanzaron
received	Recibido
righteous	Justo
near	Cerca
samaritan	Samaritano
rulers	Gobernantes
same	Mismo
remember	Recuerde
blessed	Bendito
departed	Partió
money	Dinero
ought	Debería
stooped	Inclinado
early	Pronto
descending	Orden;descendente
seek	Buscar
piece	Pieza
serves	Sirve
though	Aunque
power	Alimentación
remembered	Recordar
sakes	Bien
prince	Príncipe
nevertheless	No obstante
long	Largo
walks	Paseos
valid	Válido
dies	Muere
coat	Capa
longer	Ya no
anointed	Ungido
certain	Algunos
isaiah	Isaías
led	Led
jonah	Jonás
water	Agua
