gatekeeper	Gatekeeper
writings	Escritos
washed	Lavado
bringing	Llevar
forty-six	Cuarenta y seis
oldest	Más antiguo
disobeys	Desobedece
consider	Considerar
simon	Simon
hyssop	Hisopo
disciples	Discípulos
young	jóvenes
asking	Pedir
arisen	Surgido
under	Bajo
women	mujeres
worth	Vale
seized	Incautados
parcel	Parcela
advantage	Ventaja
sitting	Sentado
account	Cuenta
supposing	Suponiendo
lain	Lain
accuse	Acusan
advised	Recomienda
continued	Continuó
wipe	Limpie
perceived	Percibida
crowed	Cantó
publicly	Públicamente
joined	unió
enon	Enon
leave	Abandonar
burned	Quemado
woven	Tejido
mount	Monte
blasphemy	Blasfemia
crow	Crow
sabbath	Sábado
healed	Sanado
blaspheme	Blasfemar
wheat	Trigo
abroad	exterior
advantageous	Ventajoso
assembled	Montado
flogged	Azotados
goes	Va
rhabbouni	Rhabbouni
learned	Aprendido
ground	Tierra
israelite	Israelita
womb	Vientre
bowed	Inclinado
deceit	Engaño
observing	Observando
completely	Completamente
guide	Guía
accomplished	Realizado
descended	Descendiente
surely	Seguramente
spices	Especias
salvation	Salvación
hosanna	Hosanna
strap	Correa
pound	Libra
decrease	Disminución
guests	huéspedes
unrighteousness	Injusticia
few	Pocos
live	Vivir
fragrance	Fragancia
satan	Satanás
possible	Posible
perishes	Perece
knows	Sabe
porch	Porche
brings	Trae
awake	Despierto
excuse	Excusa
overtake	Adelantar
unbelieving	Incrédulo
savior	Salvador
retained	Mantenido
hold	Mantenga;pulsado
name	Nombre
appointed	Nombrado
parable	Parábola
metretes	Metertes
embarked	Iniciado
believes	Cree
outran	superado
gathers	Reúne
murmuring	murmuración
loosen	Aflojar
council	Consejo
mixture	Mezcla
caused	Causado
keep	Mantener
court	Corte
winter	Invierno
lame	Lame
rather	Más bien
anguish	Angustia
shining	Brillante
surpassed	Superado
lamp	Lámpara
pure	Pura
dared	Atrevido
beach	Playa
fever	Fiebre
questioning	Interrogatorio
dove	Paloma
capernaum	Capernaum
lifting	Elevación
solomons	salomón
waist	cintura
third	Tercer
whenever	Cada;vez;que
loud	Fuerte
sit	Sentarse
eats	Come
bathed	Bañado
purification	Purificación
greek	Griego
interpretation	Interpretación
decide	Decidir
indeed	De;hecho
toward	Hacia
choose	Elija
held	Celebró
looks	Mira
brim	Brim
permission	Permiso
existence	Existencia
jacobs	Jacobs
burning	Quema
chosen	Elegido
caesars	caesars
brook	Brook
bosom	Seno
better	Mejor
maid	Limpieza
farmer	Agricultor
scribes	escribas
overcome	Superar
seeking	Buscar
underneath	Debajo
prunes	ciruelas;pasas
nard	Nardo
flee	Huir
sinners	pecadores
execute	Ejecutar
hereafter	sucesivo
tear	Lágrima
leaned	Inclinado
burial	Entierro
doing	Haciendo
stooping	Agacharse
zebedee	Zebedeo
mother	Madre
pot	Pot
tenth	Décimo
blinded	Ciego
special	Especial
shown	Se;muestra
forgive	Perdonar
since	Desde
testify	Declarar
heavenly	Celestial
twenty-five	Veinticinco
gardener	Jardinero
foundation	Fundación
turning	Girar
commits	Cometa
seventh	Séptima
romans	Romanos
worshipper	Adorador
cured	Curado
prepare	Preparar
rejects	Rechaza
times	Veces
thing	Cosa
expedient	Conveniente
retain	Mantener
first	primer;lugar
already	Ya
spoken	Hablado
bread	Pan
wash	Lavar
bridegrooms	Esposos
force	Fuerza
blows	Golpes
open	Abrir
sheep	Ovejas
law	Ley
wrath	Ira
together	Juntos
top	Parte;superior
twisted	Trenzado
name	Nombre
needed	necesario
too	Demasiado
passed	Pasado
john	John
speaks	Habla
fifty-three	Cincuenta y tres
sealed	Sellado
cheer	Ánimo
arimathaea	Arimatea
part	Parte
branches	Sucursales
feeds	Feeds
porches	Porches
sinned	Pecado
bride	Novia
determined	Determinado
opens	abre
donkey	Burro
purify	Purificar
groaning	Gruñe
angel	Angel
remained	Sigue;siendo
ran	Ran
suspense	Suspense
manner	Forma
recover	Recuperar
declared	Declarado
often	menudo
testing	Pruebas
relative	Relación
latin	latina
seal	Junta
draws	Dibuja
glorifies	Glorifica
slapped	Bofetadas
weapons	Armas
written	Escrito
finger	Dedo
correctly	Correctamente
testified	Declaró
drawn	Señala
lays	Establece
men	Los hombres
insulted	Insultado
risen	Aumentado
revealed	Revelado
make
personally	Personalmente
fellow	Compañeros
hidden	Oculto
homes	Casas
straight	Línea;recta
there
daylight	Horario
palm	Palm
scatters	Distribución
pasture	Pasto
ourselves	Nosotros
delivered	Entregado
throughout	todo
pavement	Pavimento
paralyzed	Paralizado
oppression	Opresión
rivers	Ríos
convict	Condenar
temple	Templo
following	Siguiente
murderer	Asesino
trees	Los árboles
worthy	Digno
bury	Enterrar
dragging	Arrastrando
flock	Grey
fill	Llenar
conspired	Conspiró
clopas	Cleofas
dying	Morir
sexual	Sexual
peace	Paz
perfected	Perfeccionado
evildoer	Maldad
stumbles	Tropieza
sick	Enfermos
sufficient	Suficiente
journey	Viaje
earthly	Terrenal
thundered	Recriminó
myrrh	Mirra
apart	Aparte
profits	Beneficios
liar	Mentiroso
broke	Rompió
leads	Cables
whose	Cuyo
harvest	Cosecha
robber	Ladrón
leaning	Inclinado
whoevers	Whoevers
fold	Pliegue
second	Segundo
denarii	Denarios
drinks	Bebidas
ever	Nunca
praise	Alabanza
desires	Deseos
gathered	Reunidos
persecuted	Perseguidos
box	Caja
boy	Boy
sword	Espada
wiped	Borrado
two	Dos
throw	Lanzar
angels	Los ángeles
pierced	Perforados
sanctified	Santificados
meet	Cumplir
siloam	Siloé
something	Algo
arise	Surgen
condemn	Condenar
means	Medios
off	Apagado
boats	Barcos
gate	Gate
staying	Estancia
feed	Alimentación
interpreted	Interpretar
outer	Exterior
willing	Dispuestos
fig	Fig.
evening	Noche
died	Murió
nation	Nación
detachment	Desprendimiento
shouted	Gritó
lifted	Levantado
beyond	Más allá
accomplish	Realizar
god	Dios
confess	Confesar
worshiped	Adorado
astray	Astray
barley	Cebada
got	Tiene
free	Libre
steal	Robar
fallen	Bajado
think	Creo que
custom	Custom
pots	Potes
baptizes	Bautiza
snatch	Snatch
baptized	Bautizado
tree	Árbol
confessed	Confesó
breakfast	Desayuno
able	Poder
caesar	César
reach	Llegar
seize	Aprovechar
looked	Parecía
walking	Caminar
marveled	Maravillado
show	Mostrar
sows	cerdas
scattered	Distribuidos
bring	Llevar
turn	Gire
believing	Creer
righteousness	Justicia
rejoiced	alegramos
perceive	Percibir
preferred	Preferido
report	Informe
ascended	Ascendido
asleep	Dormido
chose	Eligió
lots	Lotes
elijah	Elías
drew	Señala
dipped	Cruce
changers	cambiadores
middle	Medio
boat	Barco
barabbas	Barrabás
life	Vida
fire	Fuego
search	Buscar
seeks	Busca
understand	Comprender
stadia	Estadios
sanctify	Santificar
coals	Brasas
flees	Huye
rooster	Gallo
adultery	El adulterio
if	Si
bound	Enlazado
rejoice	Alégrate
branch	Sucursal
an	Un
ointment	Pomada
walked	Caminó
lives	Vida
all	Todos
very	Muy
says	Dice
filled	Llena
body	Cuerpo
full	Plena
met	reunieron
receive	Recibir
remains	Sigue;siendo
holy	Santo
stone	Piedra
midst	Medio
mat	Mat
coming	Próximos
over	En
troubled	PERTURBADA
servant	Siervo
looking	Buscando
perish	Perecen
ate	Comimos
took	Tomó
lying	Mentir
take	Tomar
truly	Realmente
release	Liberación
mud	Barro
priests	sacerdotes
baptizing	Bautizando
cast	Reparto
many	Muchos
arose	Surgió
seeing	Ver
wilderness	Desierto
forth	Adelante
happens	Sucede
standing	Pie
so	Por lo tanto
philip	Philip
comes	Viene
kept	Mantenido
remain	Siguen;siendo
greater	Mayor
say	Decir
moses	Moisés
judgment	Sentencia
judge	Juez
no	No
done	Hecho
that	Que
give	Dar
sin	Pecado
then	continuación
unless	menos que
why	Por qué
some	Algunos
knew	Sabía
asked	Pregunta
myself	Yo
gave	Dio
put	Poner
from	Desde
anyone	Nadie
saying	Decir
among	Entre
born	Nacido
himself	Él;mismo
glory	Gloria
heaven	Cielo
she	Ella
loved	encantó
on	En
behold	He aquã
believed	Cree
out	Fuera
multitude	Multitud
made	Hecho
as	Como
can	Puede
not	No
another	Otro
own	Propio
because	Porque
even	Incluso
spoke	Habla
pilate	Pilato
might	Podría
should	Debe
come	Venga
answered	Contestadas
at	En
seen	Visto
works	Obras
how	Cómo
know	Saber
go	Ir
my	Mi
truth	Verdad
going	Vamos
these	Estos
in	En
told	Dicho
see	Ver
things	Cosas
those	Los
there	existe
heard	Escucha
man	Hombre
been	Sido
down	abajo
came	Vino
her	Su
by	Por
with	Con
given	Dado
went	Fuimos
saw	Sierra
we	Nos
away	Lejos
whom	Quien
lord	Señor
up	Arriba
again	Una vez más
would	Sería
one	Uno
sent	Enviado
the	El
was	Era
may	Puede
of	De
when	Cuando
a	Un
which	Que
were	Fueron
be	Ser
but	Pero
therefore	Por lo tanto
is	Es
am	Soy
me	Me
had	Había
are	Son
them	Ellos
his	Su
him	Él
has	Tiene
for	Para
i	I
said	Dice
it	Que
he	El orador
do	¿
have	Han
will	Se
they	Que
to	A
you	Usted
